time="2026-09-16T08:58:04Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-16T08:58:04Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
cray-reds-vault-loader-1  | Connecting to Vault...
cray-reds-vault-loader-1  | Connected to Vault
cray-reds-vault-loader-1  | Done.
vault-kv-enabler-1        | Waiting for Vault (vault:8200) to become ready...
vault-kv-enabler-1        | Vault ready.
vault-kv-enabler-1        | + vault login hms
vault-kv-enabler-1        | WARNING! The VAULT_TOKEN environment variable is set! This takes precedence
x3000c0s5b0-1             | INFO:root:Starting update thread
x3000c0s5b0-1             | INFO:root:AUTH_CONFIG=root:gPX4G88pgV:Administrator
x3000c0s5b0-1             | DEBUG:root:set_auth_from_env called
x3000c0s5b0-1             | DEBUG:root:set_users called
x3000c0s5b0-1             | DEBUG:root:Using accounts from env
x3000c0s5b0-1             | INFO:root:Mockup folder
x3000c0s5b0-1             | INFO:root:Init ResourceDictionary.
x3000c0s5b0-1             | INFO:root:Generic init called for type, DL325
x3000c0s5b0-1             | INFO:root:CreatePower put called
x3000c0s5b0-1             | DEBUG:root:added config for 1/Power
x3000c0s5b0-1             | INFO:root:Detected power limit schema is Generic
x3000c0s5b0-1             | INFO:root:CreateComputerSystem called
x3000c0s5b0-1             | DEBUG:root:added config for Systems/1
x3000c0s5b0-1             | INFO:root:CreateManager called
x3000c0s5b0-1             | DEBUG:root:added config for Manager/1
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 1
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 2
x3000c0s5b0-1             | INFO:root:CreateFirmwareTarget put called
x3000c0s5b0-1             | DEBUG:root:added config for 3
