time="2026-09-17T09:01:28Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-17T09:01:28Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
api-gateway-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
api-gateway-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
api-gateway-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
api-gateway-1  | 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
api-gateway-1  | 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
api-gateway-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
api-gateway-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
api-gateway-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
api-gateway-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: using the "epoll" event method
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: nginx/1.31.6
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: OS: Linux 6.17.0-1022-azure
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 65536:65536
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: start worker processes
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: start worker process 30
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: start worker process 31
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: start worker process 32
api-gateway-1  | 2026/09/17 08:30:08 [notice] 1#1: start worker process 33
api-gateway-1  | 172.18.0.1 - - [17/Sep/2026:08:31:13 +0000] "GET /x1000c0b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 328 "-" "python-requests/2.34.2" "-"
api-gateway-1  | 172.18.0.1 - - [17/Sep/2026:08:31:13 +0000] "GET /x1000c0s0b0/redfish/v1/EventService/Subscriptions HTTP/1.1" 200 329 "-" "python-requests/2.34.2" "-"
api-gateway-1  | 2026/09/17 08:31:13 [info] 31#31: *1 client 172.18.0.1 closed keepalive connection
api-gateway-1  | 2026/09/17 08:31:13 [info] 31#31: *1 client 172.18.0.1 closed keepalive connection
