time="2026-09-17T08:57:53Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-17T08:57:53Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
x1000c0s6b0-1  | INFO:root:Starting update thread
x1000c0s6b0-1  | INFO:root:AUTH_CONFIG=root:XhpCORwNO2:Administrator
x1000c0s6b0-1  | DEBUG:root:set_auth_from_env called
x1000c0s6b0-1  | DEBUG:root:set_users called
x1000c0s6b0-1  | DEBUG:root:Using accounts from env
x1000c0s6b0-1  | INFO:root:Mockup folder
x1000c0s6b0-1  | INFO:root:Init ResourceDictionary.
x1000c0s6b0-1  | INFO:root:Generic init called for type, EX425
x1000c0s6b0-1  | INFO:root:CreatePower put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1/Controls/NodePowerLimit
x1000c0s6b0-1  | INFO:root:CreatePower put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0/Controls/NodePowerLimit
x1000c0s6b0-1  | INFO:root:Detected power limit schema is HPE Cray EX
x1000c0s6b0-1  | INFO:root:CreateComputerSystem called
x1000c0s6b0-1  | DEBUG:root:added config for Systems/Node0
x1000c0s6b0-1  | INFO:root:CreateComputerSystem called
x1000c0s6b0-1  | DEBUG:root:added config for Systems/Node1
x1000c0s6b0-1  | INFO:root:CreateManager called
x1000c0s6b0-1  | DEBUG:root:added config for Manager/BMC
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.HPCNet0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for BMC
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.ManagementEthernet
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for FPGA0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0.HPCNet0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.BIOS
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Bootloader
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0.BIOS
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for FPGA1
cray-reds-1    | 2026/09/17 08:30:20 Starting reds
cray-reds-1    | 2026/09/17 08:30:20 Configuration: instance name: eb440da782f5
cray-reds-1    | 2026/09/17 08:30:20 Configuration: http-listen: :8269
cray-reds-1    | 2026/09/17 08:30:20 Configuration: hsm: http://cray-smd:27779/hsm/v2
cray-reds-1    | 2026/09/17 08:30:20 Started reds
cray-reds-1    | 2026/09/17 08:30:20 Connecting to HSM secure store (Vault)...
cray-reds-1    | 2026/09/17 08:30:20 Connection to HSM secure store (Vault) succeeded
cray-reds-1    | 2026/09/17 08:30:20 Mapping connecting to secure storage (vault)
cray-reds-1    | 2026/09/17 08:30:20 Connection to secure store (Vault) succeeded
cray-reds-1    | 2026/09/17 08:30:50 TRACE: Getting list of new management nodes
cray-reds-1    | 2026/09/17 08:30:50 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1    | 2026/09/17 08:30:50 TRACE: Getting list of new switches
cray-reds-1        | 2026/09/17 08:30:50 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_mgmt_switch
cray-reds-1        | 2026/09/17 08:30:50 INFO: Stored credential for x3000c0w31
cray-reds-1        | 2026/09/17 08:30:50 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_hl_switch
cray-reds-1        | 2026/09/17 08:30:50 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_cdu_mgmt_switch
cray-reds-1        | 2026/09/17 08:30:50 TRACE: Switches is map[]
cray-reds-1        | 2026/09/17 08:30:50 TRACE: New switches: map[x3000c0w31:{ Xname: x3000c0w31, Model: , Address: 10.254.0.8, SNMP User: testuser, SNMP Auth Password: <REDACTED>, SNMP Auth Protocol: MD5, SNMP Priv Password: <REDACTED>, SNMP Priv Protocol: DES }]
cray-reds-1        | 2026/09/17 08:30:50 TRACE: Checking if switch x3000c0w31 in new
cray-reds-1        | 2026/09/17 08:30:50 INFO: Found new switch x3000c0w31
cray-reds-1        | 2026/09/17 08:30:50 INFO: Switches changes, calling callbacks
cray-reds-1        | 2026/09/17 08:31:20 TRACE: Getting list of new management nodes
cray-reds-1        | 2026/09/17 08:31:20 TRACE: GET from http://cray-sls:8376/v1/search/hardware?type=comptype_node&class=River&extra_properties.Role=Management
cray-reds-1        | 2026/09/17 08:31:20 TRACE: Getting list of new switches
