time="2026-09-05T08:55:45Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-05T08:55:45Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
x1000c0s6b0-1  | INFO:root:Starting update thread
x1000c0s6b0-1  | INFO:root:AUTH_CONFIG=root:hMduSzpvWR:Administrator
x1000c0s6b0-1  | DEBUG:root:set_auth_from_env called
x1000c0s6b0-1  | DEBUG:root:set_users called
x1000c0s6b0-1  | DEBUG:root:Using accounts from env
x1000c0s6b0-1  | INFO:root:Mockup folder
x1000c0s6b0-1  | INFO:root:Init ResourceDictionary.
x1000c0s6b0-1  | INFO:root:Generic init called for type, EX425
x1000c0s6b0-1  | INFO:root:CreatePower put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1/Controls/NodePowerLimit
x1000c0s6b0-1  | INFO:root:CreatePower put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0/Controls/NodePowerLimit
x1000c0s6b0-1  | INFO:root:Detected power limit schema is HPE Cray EX
x1000c0s6b0-1  | INFO:root:CreateComputerSystem called
x1000c0s6b0-1  | DEBUG:root:added config for Systems/Node0
x1000c0s6b0-1  | INFO:root:CreateComputerSystem called
x1000c0s6b0-1  | DEBUG:root:added config for Systems/Node1
x1000c0s6b0-1  | INFO:root:CreateManager called
x1000c0s6b0-1  | DEBUG:root:added config for Manager/BMC
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.HPCNet0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for BMC
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.ManagementEthernet
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for FPGA0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0.HPCNet0
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node1.BIOS
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Bootloader
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s6b0-1  | DEBUG:root:added config for Node0.BIOS
x1000c0s6b0-1  | INFO:root:CreateFirmwareTarget put called
