time="2026-09-06T08:55:01Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
time="2026-09-06T08:55:01Z" level=warning msg="/home/runner/work/hms-nightly-integration/hms-nightly-integration/hms-simulation-environment/docker-compose.hardware.yaml: the attribute `version` is obsolete, it will be ignored, please remove it to avoid potential confusion"
x1000c0s3b1-1  | INFO:root:Starting update thread
x1000c0s3b1-1  | INFO:root:AUTH_CONFIG=root:Ydlh6rtj7j:Administrator
x1000c0s3b1-1  | DEBUG:root:set_auth_from_env called
x1000c0s3b1-1  | DEBUG:root:set_users called
x1000c0s3b1-1  | DEBUG:root:Using accounts from env
x1000c0s3b1-1  | INFO:root:Mockup folder
x1000c0s3b1-1  | INFO:root:Init ResourceDictionary.
x1000c0s3b1-1  | INFO:root:Generic init called for type, EX425
x1000c0s3b1-1  | INFO:root:CreatePower put called
x1000c0s3b1-1  | DEBUG:root:added config for Node1/Controls/NodePowerLimit
x1000c0s3b1-1  | INFO:root:CreatePower put called
x1000c0s3b1-1  | DEBUG:root:added config for Node0/Controls/NodePowerLimit
x1000c0s3b1-1  | INFO:root:Detected power limit schema is HPE Cray EX
x1000c0s3b1-1  | INFO:root:CreateComputerSystem called
x1000c0s3b1-1  | DEBUG:root:added config for Systems/Node0
x1000c0s3b1-1  | INFO:root:CreateComputerSystem called
x1000c0s3b1-1  | DEBUG:root:added config for Systems/Node1
x1000c0s3b1-1  | INFO:root:CreateManager called
x1000c0s3b1-1  | DEBUG:root:added config for Manager/BMC
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node1.HPCNet0
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for BMC
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node1.ManagementEthernet
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for FPGA0
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node0.HPCNet0
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node1.BIOS
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Bootloader
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node0.BIOS
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for FPGA1
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Recovery
x1000c0s3b1-1  | INFO:root:CreateFirmwareTarget put called
x1000c0s3b1-1  | DEBUG:root:added config for Node0.ManagementEthernet
x1000c0s3b1-1  | INFO:root:CreateEventService put called
x1000c0s3b1-1  | INFO:root:Using HPE Cray EX redfish event schema
x1000c0s3b1-1  | INFO:root:Using HPE Cray EX redfish event schema
x1000c0s3b1-1  | DEBUG:root:added config for AccountService/2 - operator
x1000c0s3b1-1  | DEBUG:root:added config for AccountService/3 - guest
x1000c0s3b1-1  | DEBUG:root:added config for AccountService/1 - root
x1000c0s3b1-1  | DEBUG:root:added config for AccountService
x1000c0s3b1-1  | DEBUG:root:added config for SessionService
x1000c0s3b1-1  | INFO:root:CreateCert called
x1000c0s3b1-1  | DEBUG:root:added config for /redfish/v1/Managers/BMC/NetworkProtocol/HTTPS/Certificates/1
x1000c0s3b1-1  | INFO:root:CreateNetworkProtocol called
x1000c0s3b1-1  | DEBUG:root:added config for BMC/NetworkProtocol
x1000c0s3b1-1  |  * Redfish endpoint at localhost:443
x1000c0s3b1-1  | EX425
